"Year","Cars_Registered","Motorcycle_Registered"
"2005","27520.400000000001","1206.4000000000001"
"2006","27609.200000000001","1209.5999999999999"
"2007","28000.299999999999","1248.3"
"2008","28160.700000000001","1274.5999999999999"
"2009","28246.5","1275.5999999999999"
"2010","28420.900000000001","1234.4000000000001"
"2011","28467.299999999999","1238.3"
"2012","28722.5","1224.8"
"2013","29140.900000000001","1219.4000000000001"
"2014","29611.5","1216.2"
"2015","30250.299999999999","1230.8"
"2016","30850.400000000001","1248.0999999999999"
